county,precinct,office,district,party,candidate,votes,polls,abs,prov
Rankin,216 Castlewoods W HD74,State Treasurer,,REF,Viola V. McFarland ,32,30,2,0
Rankin,216 Castlewoods W HD74,State Treasurer,,,Write-in,1,1,0,0
Rankin,216 Castlewoods W HD59,Commissioner of Agriculture & Commerce,,DEM,Addie Lee Green ,123,114,4,5
Rankin,216 Castlewoods W HD59,Commissioner of Agriculture & Commerce,,REP,Cindy Hyde-Smith ,669,640,13,16
Rankin,216 Castlewoods W HD59,Commissioner of Agriculture & Commerce,,REF,Cathy L. Toole ,8,8,0,0
Rankin,216 Castlewoods W HD59,Commissioner of Agriculture & Commerce,,,Write-in,1,1,0,0
Rankin,216 Castlewoods W HD74,Commissioner of Agriculture & Commerce,,DEM,Addie Lee Green ,38,38,0,0
Rankin,216 Castlewoods W HD74,Commissioner of Agriculture & Commerce,,Cin,Cindy Hyde-Smith ,387,364,16,7
Rankin,216 Castlewoods W HD74,Commissioner of Agriculture & Commerce,,REF,Cathy L. Toole ,7,6,1,0
Rankin,216 Castlewoods W HD74,Commissioner of Agriculture & Commerce,,,Write-in,0,0,0,0
Rankin,216 Castlewoods W HD59,Commissioner of Insurance,,REP,Mike Chaney ,750,719,13,18
Rankin,216 Castlewoods W HD59,Commissioner of Insurance,,,Write-in,6,6,0,0
Rankin,216 Castlewoods W HD74,Commissioner of Insurance,,REP,Mike Chaney ,405,382,16,7
Rankin,216 Castlewoods W HD74,Commissioner of Insurance,,,Write-in,4,4,0,0
Rankin,216 Castlewoods W,State Senate,20,REP,Josh Harkins ,"1,141","1,087",30,24
Rankin,216 Castlewoods W,State Senate,20,,Write-in,6,6,0,0
Rankin,216 Castlewoods W HD59,State House,59,REP,Brent Powell ,723,692,13,18
Rankin,216 Castlewoods W HD59,State House,59,,Write-in,5,5,0,0
Rankin,216 Castlewoods W HD74,State House,74,REP,Mark Baker ,398,374,17,7
Rankin,216 Castlewoods W HD74,State House,74,,Write-in,3,3,0,0
Rankin,218 Reservoir E,Voters,,,BALLOTS CAST,881,858,19,4
Rankin,218 Reservoir E,Governor,,REP,Phil Bryant ,756,739,16,1
Rankin,218 Reservoir E,Governor,,DEM,Robert Gray ,95,92,1,2
Rankin,218 Reservoir E,Governor,,REF,Shawn O'Hara ,15,13,1,1
Rankin,218 Reservoir E,Governor,,,Write-in,3,3,0,0
Rankin,218 Reservoir E,Lieutenant Governor,,DEM,Tim Johnson ,132,130,0,2
Rankin,218 Reservoir E,Lieutenant Governor,,REP,Tate Reeves ,698,680,17,1
Rankin,218 Reservoir E,Lieutenant Governor,,LIB,Ron Williams ,34,33,1,0
Rankin,218 Reservoir E,Lieutenant Governor,,REF,Rosa B. Williams ,4,3,0,1
Rankin,218 Reservoir E,Lieutenant Governor,,,Write-in,2,2,0,0
Rankin,218 Reservoir E,Secretary of State,,DEM,Charles E. Graham ,61,59,0,2
Rankin,218 Reservoir E,Secretary of State,,REP,Delbert Hosemann ,799,779,19,1
Rankin,218 Reservoir E,Secretary of State,,REF,Randy Walker ,16,15,0,1
Rankin,218 Reservoir E,Secretary of State,,,Write-in,1,1,0,0
Rankin,218 Reservoir E,Attorney General,,DEM,Jim Hood ,268,264,2,2
Rankin,218 Reservoir E,Attorney General,,REP,Mike Hurst ,604,586,17,1
Rankin,218 Reservoir E,Attorney General,,,Write-in,2,1,0,1
Rankin,218 Reservoir E,State Auditor,,REP,Stacey E. Pickering ,745,726,18,1
Rankin,218 Reservoir E,State Auditor,,DEM,Jocelyn  Pepper Pritchett,119,116,0,3
Rankin,218 Reservoir E,State Auditor,,REF,Lajena Walley ,8,7,1,0
Rankin,218 Reservoir E,State Auditor,,,Write-in,1,1,0,0
Rankin,218 Reservoir E,State Treasurer,,REP,Lynn Fitch ,813,792,18,3
Rankin,218 Reservoir E,State Treasurer,,REF,Viola V. McFarland ,48,46,1,1
Rankin,218 Reservoir E,State Treasurer,,,Write-in,2,2,0,0
Rankin,218 Reservoir E,Commissioner of Agriculture & Commerce,,DEM,Addie Lee Green ,72,69,0,3
Rankin,218 Reservoir E,Commissioner of Agriculture & Commerce,,REP,Cindy Hyde-Smith ,786,767,18,1
Rankin,218 Reservoir E,Commissioner of Agriculture & Commerce,,REF,Cathy L. Toole ,9,8,1,0
Rankin,218 Reservoir E,Commissioner of Agriculture & Commerce,,,Write-in,1,1,0,0
Rankin,218 Reservoir E,Commissioner of Insurance,,REP,Mike Chaney ,835,814,18,3
Rankin,218 Reservoir E,Commissioner of Insurance,,,Write-in,4,4,0,0
Rankin,218 Reservoir E,State Senate,20,REP,Josh Harkins ,817,798,17,2
Rankin,218 Reservoir E,State Senate,20,,Write-in,2,2,0,0
Rankin,218 Reservoir E,State House,59,REP,Brent Powell ,805,786,17,2
Rankin,218 Reservoir E,State House,59,,Write-in,2,2,0,0
Rankin,219 Reservoir W,Voters,,,BALLOTS CAST ,764,735,17,12
Rankin,219 Reservoir W,Governor,,REP,Phil Bryant ,661,637,14,10
Rankin,219 Reservoir W,Governor,,DEM,Robert Gray ,87,83,2,2
Rankin,219 Reservoir W,Governor,,REF,Shawn O'Hara ,8,7,1,0
Rankin,219 Reservoir W,Governor,,,Write-in,2,2,0,0
Rankin,219 Reservoir W,Lieutenant Governor,,DEM,Tim Johnson ,112,108,2,2
Rankin,219 Reservoir W,Lieutenant Governor,,REP,Tate Reeves ,625,601,14,10
Rankin,219 Reservoir W,Lieutenant Governor,,LIB,Ron Williams ,11,11,0,0
Rankin,219 Reservoir W,Lieutenant Governor,,REF,Rosa B. Williams ,6,5,1,0
Rankin,219 Reservoir W,Lieutenant Governor,,,Write-in,1,1,0,0
Rankin,219 Reservoir W,Secretary of State,,DEM,Charles E. Graham ,65,62,2,1
Rankin,219 Reservoir W,Secretary of State,,REP,Delbert Hosemann ,673,649,14,10
Rankin,219 Reservoir W,Secretary of State,,REF,Randy Walker ,12,11,1,0
Rankin,219 Reservoir W,Secretary of State,,,Write-in,0,0,0,0
Rankin,219 Reservoir W,Attorney General,,DEM,Jim Hood ,243,231,8,4
Rankin,219 Reservoir W,Attorney General,,REP,Mike Hurst ,516,500,9,7
Rankin,219 Reservoir W,Attorney General,,,Write-in,1,1,0,0
Rankin,219 Reservoir W,State Auditor,,REP,Stacey E. Pickering ,650,627,13,10
Rankin,219 Reservoir W,State Auditor,,DEM,Jocelyn  Pepper Pritchett,102,98,3,1
Rankin,219 Reservoir W,State Auditor,,REF,Lajena Walley ,5,4,1,0
Rankin,219 Reservoir W,State Auditor,,,Write-in,0,0,0,0
Rankin,219 Reservoir W,State Treasurer,,REP,Lynn Fitch ,695,670,16,9
Rankin,219 Reservoir W,State Treasurer,,REF,Viola V. McFarland ,49,46,1,2
Rankin,219 Reservoir W,State Treasurer,,,Write-in,0,0,0,0
Rankin,219 Reservoir W,Commissioner of Agriculture & Commerce,,DEM,Addie Lee Green ,67,64,2,1
Rankin,219 Reservoir W,Commissioner of Agriculture & Commerce,,REP,Cindy Hyde-Smith ,673,650,14,9
Rankin,219 Reservoir W,Commissioner of Agriculture & Commerce,,REF,Cathy L. Toole ,12,10,1,1
Rankin,219 Reservoir W,Commissioner of Agriculture & Commerce,,,Write-in,0,0,0,0
Rankin,219 Reservoir W,Commissioner of Insurance,,REP,Mike Chaney ,726,702,15,9
Rankin,219 Reservoir W,Commissioner of Insurance,,,Write-in,2,2,0,0
Rankin,219 Reservoir W,State Senate,20,REP,Josh Harkins ,720,696,15,9
Rankin,219 Reservoir W,State Senate,20,,Write-in,2,2,0,0
Rankin,219 Reservoir W,State House,59,REP,Brent Powell ,713,689,15,9
Rankin,219 Reservoir W,State House,59,,Write-in,1,1,0,0
Rankin,220 Northshore,Voters,,,BALLOTS CAST ,1116,"1,081",28,7
Rankin,220 Northshore,Governor,,REP,Phil Bryant ,946,915,24,7
Rankin,220 Northshore,Governor,,DEM,Robert Gray ,147,144,3,0
Rankin,220 Northshore,Governor,,REF,Shawn O'Hara ,10,9,1,0
Rankin,220 Northshore,Governor,,,Write-in,3,3,0,0
Rankin,220 Northshore,Lieutenant Governor,,DEM,Tim Johnson ,191,188,3,0
Rankin,220 Northshore,Lieutenant Governor,,REP,Tate Reeves ,883,853,23,7
Rankin,220 Northshore,Lieutenant Governor,,LIB,Ron Williams ,19,18,1,0
Rankin,220 Northshore,Lieutenant Governor,,REF,Rosa B. Williams ,5,5,0,0
Rankin,220 Northshore,Lieutenant Governor,,,Write-in,1,1,0,0
Rankin,220 Northshore,Secretary of State,,DEM,Charles E. Graham ,113,111,2,0
Rankin,220 Northshore,Secretary of State,,REP,Delbert Hosemann ,973,941,25,7
Rankin,220 Northshore,Secretary of State,,REF,Randy Walker ,18,18,0,0
Rankin,220 Northshore,Secretary of State,,,Write-in,0,0,0,0
Rankin,220 Northshore,Attorney General,,DEM,Jim Hood ,342,336,6,0
Rankin,220 Northshore,Attorney General,,REP,Mike Hurst ,768,741,21,6
Rankin,220 Northshore,Attorney General,,,Write-in,0,0,0,0
Rankin,220 Northshore,State Auditor,,REP,Stacey E. Pickering ,942,911,24,7
Rankin,220 Northshore,State Auditor,,DEM,Jocelyn  Pepper Pritchett,148,147,1,0
Rankin,220 Northshore,State Auditor,,REF,Lajena Walley ,9,9,0,0
Rankin,220 Northshore,State Auditor,,,Write-in,2,2,0,0
Rankin,220 Northshore,State Treasurer,,REP,Lynn Fitch ,"1,003",973,24,6
Rankin,220 Northshore,State Treasurer,,REF,Viola V. McFarland ,62,59,2,1
Rankin,220 Northshore,State Treasurer,,,Write-in,6,6,0,0
Rankin,220 Northshore,Commissioner of Agriculture & Commerce,,DEM,Addie Lee Green ,118,116,2,0
Rankin,220 Northshore,Commissioner of Agriculture & Commerce,,REP,Cindy Hyde-Smith ,967,936,25,6
Rankin,220 Northshore,Commissioner of Agriculture & Commerce,,REF,Cathy L. Toole ,12,11,0,1
Rankin,220 Northshore,Commissioner of Agriculture & Commerce,,,Write-in,2,2,0,0
Rankin,220 Northshore,Commissioner of Insurance,,REP,Mike Chaney ,"1,045","1,015",24,6
Rankin,220 Northshore,Commissioner of Insurance,,,Write-in,6,6,0,0
Rankin,220 Northshore,State Senate,20,REP,Josh Harkins ,"1,022",991,24,7
Rankin,220 Northshore,State Senate,20,,Write-in,3,2,1,0
Rankin,220 Northshore,State House,59,REP,Brent Powell ,"1,010",983,21,6
Rankin,220 Northshore,State House,59,,Write-in,3,2,1,0
Rankin,221 Lakeland,Voters,,,BALLOTS CAST ,456,444,5,7
Rankin,221 Lakeland,Governor,,REP,Phil Bryant ,370,358,5,12
Rankin,221 Lakeland,Governor,,DEM,Robert Gray ,60,60,0,0
Rankin,221 Lakeland,Governor,,REF,Shawn O'Hara ,16,16,0,0
Rankin,221 Lakeland,Governor,,,Write-in,5,5,0,0
Rankin,221 Lakeland,Lieutenant Governor,,DEM,Tim Johnson ,76,76,0,0
Rankin,221 Lakeland,Lieutenant Governor,,REP,Tate Reeves ,352,342,5,10
Rankin,221 Lakeland,Lieutenant Governor,,LIB,Ron Williams ,15,15,0,0
Rankin,221 Lakeland,Lieutenant Governor,,REF,Rosa B. Williams ,5,5,0,0
Rankin,221 Lakeland,Lieutenant Governor,,,Write-in,2,2,0,0
Rankin,221 Lakeland,Secretary of State,,DEM,Charles E. Graham ,55,55,0,0
Rankin,221 Lakeland,Secretary of State,,REP,Delbert Hosemann ,388,376,5,7
Rankin,221 Lakeland,Secretary of State,,REF,Randy Walker ,7,7,0,0
Rankin,221 Lakeland,Secretary of State,,,Write-in,0,0,0,0
Rankin,221 Lakeland,Attorney General,,DEM,Jim Hood ,178,172,2,4
Rankin,221 Lakeland,Attorney General,,REP,Mike Hurst ,276,270,3,3
Rankin,221 Lakeland,Attorney General,,,Write-in,1,1,0,0
Rankin,221 Lakeland,State Auditor,,REP,Stacey E. Pickering ,373,361,5,7
Rankin,221 Lakeland,State Auditor,,DEM,Jocelyn  Pepper Pritchett,70,70,0,0
Rankin,221 Lakeland,State Auditor,,REF,Lajena Walley ,7,7,0,0
Rankin,221 Lakeland,State Auditor,,,Write-in,1,1,0,0
Rankin,221 Lakeland,State Treasurer,,REP,Lynn Fitch ,402,390,5,7
Rankin,221 Lakeland,State Treasurer,,REF,Viola V. McFarland ,39,39,0,0
Rankin,221 Lakeland,State Treasurer,,,Write-in,1,1,0,0
Rankin,221 Lakeland,Commissioner of Agriculture & Commerce,,DEM,Addie Lee Green ,58,58,0,0
Rankin,221 Lakeland,Commissioner of Agriculture & Commerce,,REP,Cindy Hyde-Smith ,383,372,4,7
Rankin,221 Lakeland,Commissioner of Agriculture & Commerce,,REF,Cathy L. Toole ,6,6,0,0
Rankin,221 Lakeland,Commissioner of Agriculture & Commerce,,,Write-in,0,0,0,0
Rankin,221 Lakeland,Commissioner of Insurance,,REP,Mike Chaney ,420,408,5,7
Rankin,221 Lakeland,Commissioner of Insurance,,,Write-in,5,5,0,0
Rankin,221 Lakeland,State Senate,20,REP,Josh Harkins ,417,405,5,7
Rankin,221 Lakeland,State Senate,20,,Write-in,2,2,0,0
Rankin,221 Lakeland,State House,59,REP,Brent Powell ,414,403,4,7
Rankin,221 Lakeland,State House,59,,Write-in,1,1,0,0
Rankin,306 Antioch,Voters,,,BALLOTS CAST ,151,144,5,2
Rankin,306 Antioch,Governor,,REP,Phil Bryant ,143,136,5,2
Rankin,306 Antioch,Governor,,DEM,Robert Gray ,8,8,0,0
Rankin,306 Antioch,Governor,,REF,Shawn O'Hara ,0,0,0,0
Rankin,306 Antioch,Governor,,,Write-in,0,0,0,0
Rankin,306 Antioch,Lieutenant Governor,,DEM,Tim Johnson ,9,9,0,0
Rankin,306 Antioch,Lieutenant Governor,,REP,Tate Reeves ,137,132,3,2
Rankin,306 Antioch,Lieutenant Governor,,LIB,Ron Williams ,4,2,2,0
Rankin,306 Antioch,Lieutenant Governor,,REF,Rosa B. Williams ,0,0,0,0
Rankin,306 Antioch,Lieutenant Governor,,,Write-in,0,0,0,0
Rankin,306 Antioch,Secretary of State,,DEM,Charles E. Graham ,4,4,0,0
Rankin,306 Antioch,Secretary of State,,REP,Delbert Hosemann ,145,138,5,2
Rankin,306 Antioch,Secretary of State,,REF,Randy Walker ,2,2,0,0
Rankin,306 Antioch,Secretary of State,,,Write-in,0,0,0,0
Rankin,306 Antioch,Attorney General,,DEM,Jim Hood ,31,31,0,0
Rankin,306 Antioch,Attorney General,,REP,Mike Hurst ,120,113,5,2
Rankin,306 Antioch,Attorney General,,,Write-in,0,0,0,0
Rankin,306 Antioch,State Auditor,,REP,Stacey E. Pickering ,144,137,5,2
Rankin,306 Antioch,State Auditor,,DEM,Jocelyn  Pepper Pritchett,6,6,0,0
Rankin,306 Antioch,State Auditor,,REF,Lajena Walley ,0,0,0,0
Rankin,306 Antioch,State Auditor,,,Write-in,0,0,0,0
Rankin,306 Antioch,State Treasurer,,REP,Lynn Fitch ,145,139,4,2
Rankin,306 Antioch,State Treasurer,,REF,Viola V. McFarland ,6,5,1,0
Rankin,306 Antioch,State Treasurer,,,Write-in,0,0,0,0
Rankin,306 Antioch,Commissioner of Agriculture & Commerce,,DEM,Addie Lee Green ,8,8,0,0
Rankin,306 Antioch,Commissioner of Agriculture & Commerce,,REP,Cindy Hyde-Smith ,142,135,5,2
Rankin,306 Antioch,Commissioner of Agriculture & Commerce,,REF,Cathy L. Toole ,1,1,0,0
Rankin,306 Antioch,Commissioner of Agriculture & Commerce,,,Write-in,0,0,0,0
Rankin,306 Antioch,Commissioner of Insurance,,REP,Mike Chaney ,150,143,5,2
Rankin,306 Antioch,Commissioner of Insurance,,,Write-in,0,0,0,0
Rankin,306 Antioch,State Senate,35,REP,Chris Caughman ,150,143,5,2
Rankin,306 Antioch,State Senate,35,,Write-in,0,0,0,0
Rankin,306 Antioch,State House,60,REP,John L. Moore ,150,143,5,2
Rankin,306 Antioch,State House,60,,Write-in,1,1,0,0
Rankin,307 Mayton,Voters,,,BALLOTS CAST,119,117,2,0
Rankin,307 Mayton,Governor,,REP,Phil Bryant ,98,96,2,0
Rankin,307 Mayton,Governor,,DEM,Robert Gray ,17,17,0,0
Rankin,307 Mayton,Governor,,REF,Shawn O'Hara ,0,0,0,0
Rankin,307 Mayton,Governor,,,Write-in,0,0,0,0
Rankin,307 Mayton,Lieutenant Governor,,DEM,Tim Johnson ,18,18,0,0
Rankin,307 Mayton,Lieutenant Governor,,REP,Tate Reeves ,94,92,2,0
Rankin,307 Mayton,Lieutenant Governor,,LIB,Ron Williams ,2,2,0,0
Rankin,307 Mayton,Lieutenant Governor,,REF,Rosa B. Williams ,0,0,0,0
Rankin,307 Mayton,Lieutenant Governor,,,Write-in,0,0,0,0
Rankin,307 Mayton,Secretary of State,,DEM,Charles E. Graham ,20,20,0,0
Rankin,307 Mayton,Secretary of State,,REP,Delbert Hosemann ,92,90,2,0
Rankin,307 Mayton,Secretary of State,,REF,Randy Walker ,2,2,0,0
Rankin,307 Mayton,Secretary of State,,,Write-in,0,0,0,0
Rankin,307 Mayton,Attorney General,,DEM,Jim Hood ,43,42,1,0
Rankin,307 Mayton,Attorney General,,REP,Mike Hurst ,75,74,1,0
Rankin,307 Mayton,Attorney General,,,Write-in,0,0,0,0
Rankin,307 Mayton,State Auditor,,REP,Stacey E. Pickering ,97,95,2,0
Rankin,307 Mayton,State Auditor,,DEM,Jocelyn  Pepper Pritchett,19,19,0,0
Rankin,307 Mayton,State Auditor,,REF,Lajena Walley ,0,0,0,0
Rankin,307 Mayton,State Auditor,,,Write-in,0,0,0,0
Rankin,307 Mayton,State Treasurer,,REP,Lynn Fitch ,104,102,2,0
Rankin,307 Mayton,State Treasurer,,REF,Viola V. McFarland ,9,9,0,0
Rankin,307 Mayton,State Treasurer,,,Write-in,0,0,0,0
Rankin,307 Mayton,Commissioner of Agriculture & Commerce,,DEM,Addie Lee Green ,17,17,0,0
Rankin,307 Mayton,Commissioner of Agriculture & Commerce,,REP,Cindy Hyde-Smith ,99,97,2,0
Rankin,307 Mayton,Commissioner of Agriculture & Commerce,,REF,Cathy L. Toole ,0,0,0,0
Rankin,307 Mayton,Commissioner of Agriculture & Commerce,,,Write-in,0,0,0,0
Rankin,307 Mayton,Commissioner of Insurance,,REP,Mike Chaney ,108,106,2,0
Rankin,307 Mayton,Commissioner of Insurance,,,Write-in,1,1,0,0
Rankin,307 Mayton,State Senate,35,REP,Chris Caughman ,105,103,2,0
Rankin,307 Mayton,State Senate,35,,Write-in,1,1,0,0
Rankin,307 Mayton,State House,60,REP,John L. Moore ,108,106,2,0
Rankin,307 Mayton,State House,60,,Write-in,1,1,0,0
Rankin,308 Johns,Voters,,,BALLOTS CAST,311,294,9,8
Rankin,308 Johns,Governor,,REP,Phil Bryant ,250,238,6,6
Rankin,308 Johns,Governor,,DEM,Robert Gray ,55,51,2,2
Rankin,308 Johns,Governor,,REF,Shawn O'Hara ,3,2,1,0
Rankin,308 Johns,Governor,,,Write-in,0,0,0,0
Rankin,308 Johns,Lieutenant Governor,,DEM,Tim Johnson ,59,55,2,2
Rankin,308 Johns,Lieutenant Governor,,REP,Tate Reeves ,242,231,5,6
Rankin,308 Johns,Lieutenant Governor,,LIB,Ron Williams ,6,4,2,0
Rankin,308 Johns,Lieutenant Governor,,REF,Rosa B. Williams ,2,2,0,0
Rankin,308 Johns,Lieutenant Governor,,,Write-in,0,0,0,0
Rankin,308 Johns,Secretary of State,,DEM,Charles E. Graham ,50,46,2,2
Rankin,308 Johns,Secretary of State,,REP,Delbert Hosemann ,251,238,7,6
Rankin,308 Johns,Secretary of State,,REF,Randy Walker ,6,6,0,0
Rankin,308 Johns,Secretary of State,,,Write-in,0,0,0,0
Rankin,308 Johns,Attorney General,,DEM,Jim Hood ,107,101,4,2
Rankin,308 Johns,Attorney General,,REP,Mike Hurst ,202,191,5,6
Rankin,308 Johns,Attorney General,,,Write-in,0,0,0,0
Rankin,308 Johns,State Auditor,,REP,Stacey E. Pickering ,255,244,5,6
Rankin,308 Johns,State Auditor,,DEM,Jocelyn  Pepper Pritchett,50,44,4,2
Rankin,308 Johns,State Auditor,,REF,Lajena Walley ,2,2,0,0
Rankin,308 Johns,State Auditor,,,Write-in,0,0,0,0
Rankin,308 Johns,State Treasurer,,REP,Lynn Fitch ,265,251,7,7
Rankin,308 Johns,State Treasurer,,REF,Viola V. McFarland ,19,16,2,1
Rankin,308 Johns,State Treasurer,,,Write-in,0,0,0,0
Rankin,308 Johns,Commissioner of Agriculture & Commerce,,DEM,Addie Lee Green ,55,53,0,2
Rankin,308 Johns,Commissioner of Agriculture & Commerce,,REP,Cindy Hyde-Smith ,252,237,9,6
Rankin,308 Johns,Commissioner of Agriculture & Commerce,,REF,Cathy L. Toole ,3,3,0,0
Rankin,308 Johns,Commissioner of Agriculture & Commerce,,,Write-in,0,0,0,0
Rankin,308 Johns,Commissioner of Insurance,,REP,Mike Chaney ,275,260,8,7
Rankin,308 Johns,Commissioner of Insurance,,,Write-in,2,2,0,0
Rankin,308 Johns,State Senate,35,REP,Chris Caughman ,274,260,7,7
Rankin,308 Johns,State Senate,35,,Write-in,0,0,0,0
Rankin,308 Johns,State House,60,REP,John L. Moore ,269,255,7,7
Rankin,308 Johns,State House,60,,Write-in,1,1,0,0
Rankin,309 E Brandon,Voters,,,BALLOTS CAST,"1,101","1,018",68,15
Rankin,309 E Brandon,Governor,,REP,Phil Bryant ,958,882,65,11
Rankin,309 E Brandon,Governor,,DEM,Robert Gray ,115,109,2,4
Rankin,309 E Brandon,Governor,,REF,Shawn O'Hara ,14,13,1,0
Rankin,309 E Brandon,Governor,,,Write-in,4,4,0,0
Rankin,309 E Brandon,Lieutenant Governor,,DEM,Tim Johnson ,148,140,4,4
Rankin,309 E Brandon,Lieutenant Governor,,REP,Tate Reeves ,902,828,63,11
Rankin,309 E Brandon,Lieutenant Governor,,LIB,Ron Williams ,32,31,1,0
Rankin,309 E Brandon,Lieutenant Governor,,REF,Rosa B. Williams ,5,5,0,0
Rankin,309 E Brandon,Lieutenant Governor,,,Write-in,1,1,0,0
Rankin,309 E Brandon,Secretary of State,,DEM,Charles E. Graham ,103,97,1,5
Rankin,309 E Brandon,Secretary of State,,REP,Delbert Hosemann ,967,891,66,10
Rankin,309 E Brandon,Secretary of State,,REF,Randy Walker ,14,13,1,0
Rankin,309 E Brandon,Secretary of State,,,Write-in,1,1,0,0
Rankin,309 E Brandon,Attorney General,,DEM,Jim Hood ,339,304,29,6
Rankin,309 E Brandon,Attorney General,,REP,Mike Hurst ,756,708,39,9
Rankin,309 E Brandon,Attorney General,,,Write-in,0,0,0,0
Rankin,309 E Brandon,State Auditor,,REP,Stacey E. Pickering ,962,886,64,12
Rankin,309 E Brandon,State Auditor,,DEM,Jocelyn  Pepper Pritchett,114,109,2,3
Rankin,309 E Brandon,State Auditor,,REP,Lajena Walley ,7,7,0,0
Rankin,309 E Brandon,State Auditor,,,Write-in,2,1,1,0
Rankin,309 E Brandon,State Treasurer,,REP,Lynn Fitch ,"1,008",929,66,13
Rankin,309 E Brandon,State Treasurer,,REF,Viola V. McFarland ,54,52,1,1
Rankin,309 E Brandon,State Treasurer,,,Write-in,4,3,1,0
Rankin,309 E Brandon,Commissioner of Agriculture & Commerce,,DEM,Addie Lee Green ,100,92,3,5
Rankin,309 E Brandon,Commissioner of Agriculture & Commerce,,REP,Cindy Hyde-Smith ,977,903,64,10
Rankin,309 E Brandon,Commissioner of Agriculture & Commerce,,REF,Cathy L. Toole ,7,6,1,0
Rankin,309 E Brandon,Commissioner of Agriculture & Commerce,,,Write-in,1,1,0,0
Rankin,309 E Brandon,Commissioner of Insurance,,REP,Mike Chaney ,"1,033",955,64,14
Rankin,309 E Brandon,Commissioner of Insurance,,,Write-in,6,6,0,0
Rankin,309 E Brandon,State Senate,30,REP,Dean Kirby ,"1,029",951,64,14
Rankin,309 E Brandon,State Senate,30,,Write-in,8,8,0,0
Rankin,309 E Brandon,State House,60,REP,John L. Moore ,"1,012",935,63,14
Rankin,309 E Brandon,State House,60,,Write-in,10,9,1,0
Rankin,310 Kato,Voters,,,BALLOTS CAST,487,479,8,0
Rankin,310 Kato,Governor,,REP,Phil Bryant ,392,385,7,0
Rankin,310 Kato,Governor,,DEM,Robert Gray ,83,82,1,0
Rankin,310 Kato,Governor,,REF,Shawn O'Hara ,5,5,0,0
Rankin,310 Kato,Governor,,,Write-in,1,1,0,0
Rankin,310 Kato,Lieutenant Governor,,DEM,Tim Johnson ,102,101,1,0
Rankin,310 Kato,Lieutenant Governor,,REP,Tate Reeves ,370,363,7,0
Rankin,310 Kato,Lieutenant Governor,,LIB,Ron Williams ,13,13,0,0
Rankin,310 Kato,Lieutenant Governor,,REF,Rosa B. Williams ,0,0,0,0
Rankin,310 Kato,Lieutenant Governor,,,Write-in,1,1,0,0
Rankin,310 Kato,Secretary of State,,DEM,Charles E. Graham ,86,85,1,0
Rankin,310 Kato,Secretary of State,,REP,Delbert Hosemann ,389,382,7,0
Rankin,310 Kato,Secretary of State,,REF,Randy Walker ,8,8,0,0
Rankin,310 Kato,Secretary of State,,,Write-in,1,1,0,0
Rankin,310 Kato,Attorney General,,DEM,Jim Hood ,179,176,3,0
Rankin,310 Kato,Attorney General,,REP,Mike Hurst ,307,302,5,0
Rankin,310 Kato,Attorney General,,,Write-in,0,0,0,0
Rankin,310 Kato,State Auditor,,REP,Stacey E. Pickering ,396,389,7,0
Rankin,310 Kato,State Auditor,,DEM,Jocelyn  Pepper Pritchett,83,82,1,0
Rankin,310 Kato,State Auditor,,REF,Lajena Walley ,5,5,0,0
Rankin,310 Kato,State Auditor,,,Write-in,1,1,0,0
Rankin,310 Kato,State Treasurer,,REP,Lynn Fitch ,423,417,6,0
Rankin,310 Kato,State Treasurer,,REF,Viola V. McFarland ,25,25,0,0
Rankin,310 Kato,State Treasurer,,,Write-in,0,0,0,0
Rankin,310 Kato,Commissioner of Agriculture & Commerce,,DEM,Addie Lee Green ,89,88,1,0
Rankin,310 Kato,Commissioner of Agriculture & Commerce,,REP,Cindy Hyde-Smith ,388,382,6,0
Rankin,310 Kato,Commissioner of Agriculture & Commerce,,REF,Cathy L. Toole ,8,8,0,0
Rankin,310 Kato,Commissioner of Agriculture & Commerce,,,Write-in,0,0,0,0
Rankin,310 Kato,Commissioner of Insurance,,REP,Mike Chaney ,429,423,6,0
Rankin,310 Kato,Commissioner of Insurance,,,Write-in,3,3,0,0
Rankin,310 Kato,State Senate,35,REP,Chris Caughman ,425,419,6,0
Rankin,310 Kato,State Senate,35,,Write-in,2,2,0,0
Rankin,310 Kato,State House,77,REP,Andy Gipson ,421,415,6,0
Rankin,310 Kato,State House,77,,Write-in,1,1,0,0
Rankin,312 Dry Creek,Voters,,,BALLOTS CAST,615,602,6,7
Rankin,312 Dry Creek HD60,Governor ,,REP,Phil Bryant ,6,6,0,0
Rankin,312 Dry Creek HD60,Governor ,,DEM,Robert Gray ,1,1,0,0
Rankin,312 Dry Creek HD60,Governor ,,REF,Shawn O'Hara ,0,0,0,0
Rankin,312 Dry Creek HD60,Governor ,,,Write-in,0,0,0,0
Rankin,312 Dry Creek HD62,Governor ,,REP,Phil Bryant ,20,19,1,0
Rankin,312 Dry Creek HD62,Governor ,,DEM,Robert Gray ,68,67,0,1
Rankin,312 Dry Creek HD62,Governor ,,REF,Shawn O'Hara ,1,1,0,0
Rankin,312 Dry Creek HD62,Governor ,,,Write-in,0,0,0,0
Rankin,312 Dry Creek HD77,Governor ,,REP,Phil Bryant ,334,327,2,5
Rankin,312 Dry Creek HD77,Governor ,,DEM,Robert Gray ,172,169,2,1
Rankin,312 Dry Creek HD77,Governor ,,REF,Shawn O'Hara ,6,6,0,0
Rankin,312 Dry Creek HD77,Governor ,,,Write-in,0,0,0,0
